"especie"	"rotacao"	"regiao"	"fazenda"	"projeto"	"estrato"	"talhao"	"idade"	"ano"	"pagina"	"arvore"	"dap"	"ht"	"vol"	"voltot"
"E.grandis"	1	"Bofete"	6	89	603	10	2.6	92	105003	2	8.91	16.17	47.226278	48.23337
"E.grandis"	1	"Bofete"	6	89	603	10	2.6	92	121702	1	4.46	9.71	7.2751	9.023149
"E.grandis"	1	"Bofete"	6	89	603	10	2.6	92	121805	4	7.32	14.12	30.189814	31.16097
"E.grandis"	1	"Bofete"	6	89	603	10	2.6	92	121805	5	7.32	14.71	25.23901	27.44222
"E.grandis"	1	"Bofete"	6	89	603	10	2.6	92	121905	1	8.59	15.93	47.665583	48.41281
"E.grandis"	1	"Bofete"	6	89	603	10	2.6	92	121905	2	8.59	16.11	45.698459	46.47358
"E.grandis"	1	"Bofete"	6	89	603	10	2.6	92	121905	3	9.23	16.61	52.147477	53.4856
"E.grandis"	1	"Bofete"	6	89	603	10	2.6	92	122010	1	11.14	18.37	78.787417	80.1934
"E.grandis"	1	"Bofete"	6	89	603	10	2.6	92	122010	2	10.19	18.18	65.08024	66.2027
"E.grandis"	1	"Bofete"	6	89	603	10	2.6	92	122010	3	10.5	18.13	79.492575	80.3157
"E.grandis"	1	"Bofete"	6	89	603	10	2.6	92	122010	4	10.5	18.79	80.807088	81.83429
"E.grandis"	1	"Bofete"	6	89	603	10	2.6	92	122010	5	11.14	18.19	83.557501	84.18182
"E.grandis"	1	"Bofete"	6	89	603	10	2.6	92	122103	1	14.96	20.78	159.558993	159.7897
"E.grandis"	1	"Bofete"	6	89	603	10	2.6	92	128805	1	7.96	15.1	33.891961	35.12174
"E.grandis"	1	"Bofete"	6	89	603	10	2.6	92	128805	2	7.64	13.51	26.188831	27.6898
"E.grandis"	1	"Bofete"	6	89	603	10	2.6	92	128805	3	9.55	17.14	57.4777	59.02719
"E.grandis"	1	"Bofete"	6	89	603	10	2.6	92	128905	1	10.19	17.61	63.420242	65.04538
"E.grandis"	1	"Bofete"	6	89	603	10	2.6	92	128905	2	11.14	17.28	76.711327	77.2517
"E.grandis"	1	"Bofete"	6	89	603	15	2.4	92	72605	1	12.41	14.13	76.056819	77.11192
"E.grandis"	1	"Bofete"	6	89	603	15	2.4	92	72605	2	11.14	12.3	55.164176	55.55023
"E.grandis"	1	"Bofete"	6	89	603	15	2.4	92	72605	3	13.05	14.32	84.740437	85.26423
"E.grandis"	1	"Bofete"	6	89	603	15	2.4	92	72605	4	11.78	13.34	64.785507	65.3852
"E.grandis"	1	"Bofete"	6	89	603	15	2.4	92	72605	5	11.78	12.55	62.887161	63.24179
"E.grandis"	1	"Bofete"	6	89	603	15	2.5	92	104803	3	11.78	14.79	68.610334	69.43346
"E.grandis"	1	"Bofete"	6	89	603	15	2.5	92	104903	3	10.5	13.75	56.30651	57.21358
"E.grandis"	1	"Bofete"	6	89	603	15	2.5	92	105003	3	9.23	13.89	42.099588	42.92271
"E.grandis"	1	"Bofete"	6	89	603	15	2.5	92	121702	2	5.09	10.22	8.935475	11.17537
"E.grandis"	1	"Bofete"	6	89	603	15	2.5	92	121805	1	7	11.48	24.190974	24.71476
"E.grandis"	1	"Bofete"	6	89	603	15	2.5	92	121805	2	7	11.03	21.294551	22.32175
"E.grandis"	1	"Bofete"	6	89	603	15	2.5	92	121805	3	7.32	10.12	22.166222	22.79733
"E.grandis"	1	"Bofete"	6	89	603	15	2.5	92	121905	4	9.23	13.84	38.116983	39.56243
"E.grandis"	1	"Bofete"	6	89	603	15	2.5	92	121905	5	8.28	12.13	31.162989	31.96601
"E.grandis"	1	"Bofete"	6	89	603	15	2.5	92	122010	6	10.5	13.78	55.272997	55.88475
"E.grandis"	1	"Bofete"	6	89	603	15	2.5	92	122010	7	10.19	12.43	45.999706	47.19405
"E.grandis"	1	"Bofete"	6	89	603	15	2.5	92	122010	8	10.5	12.15	50.464518	50.78321
"E.grandis"	1	"Bofete"	6	89	603	15	2.5	92	122010	9	11.14	12.96	60.842051	61.2266
"E.grandis"	1	"Bofete"	6	89	603	15	2.5	92	122010	10	11.14	12.48	52.903466	54.09781
"E.grandis"	1	"Bofete"	6	89	603	15	2.5	92	122103	2	14.01	14.93	95.307757	95.79184
"E.grandis"	1	"Bofete"	6	89	603	15	2.5	92	122103	3	13.37	13.84	89.966154	90.87322
"E.grandis"	1	"Bofete"	6	89	603	15	2.5	92	128805	4	8.59	12.69	36.383271	37.00709
"E.grandis"	1	"Bofete"	6	89	603	15	2.5	92	128805	5	9.23	12.24	38.702525	39.05716
"E.grandis"	1	"Bofete"	6	89	603	15	2.5	92	128905	3	10.19	11.95	45.20321	45.84638
"E.grandis"	1	"Bofete"	6	89	603	15	2.5	92	128905	4	11.14	13.03	58.81634	59.37155
"E.grandis"	1	"Bofete"	6	89	603	15	2.5	92	128905	5	10.82	13.81	59.13403	59.83375
"E.grandis"	1	"Bofete"	6	90	608	11	2.8	93	316405	1	8.59	16.19	44.732034	45.95479
"E.grandis"	1	"Bofete"	6	90	608	11	2.8	93	316405	2	8.59	15.47	42.272976	43.687
"E.grandis"	1	"Bofete"	6	90	608	11	2.8	93	316405	3	7.64	14.99	30.365806	32.73742
"E.grandis"	1	"Bofete"	6	90	608	11	2.8	93	316405	4	8.91	15.76	49.088752	49.99582
"E.grandis"	1	"Bofete"	6	90	608	11	2.8	93	316405	5	7.96	13.57	28.865342	29.9878
"E.grandis"	1	"Bofete"	6	90	608	11	2.8	93	316508	1	10.82	16.83	71.725356	72.63242
"E.grandis"	1	"Bofete"	6	90	608	11	2.8	93	316508	2	9.87	16.14	60.044326	61.31107
"E.grandis"	1	"Bofete"	6	90	608	11	2.8	93	316508	3	10.82	17.33	71.861595	72.24765
"E.grandis"	1	"Bofete"	6	90	608	11	2.8	93	316508	4	11.14	17.97	81.746868	82.49409
"E.grandis"	1	"Bofete"	6	90	608	11	2.8	93	316508	5	10.5	16.29	66.322457	66.81885
"E.grandis"	1	"Bofete"	6	90	608	11	2.8	93	316508	6	11.14	17.4	79.704256	80.31601
"E.grandis"	1	"Bofete"	6	90	608	11	2.8	93	316508	7	11.14	17.3	71.380995	71.90478
"E.grandis"	1	"Bofete"	6	90	608	11	2.8	93	316508	8	10.5	15.51	64.937773	65.40225
"E.grandis"	1	"Bofete"	6	90	608	12	2.8	93	316610	1	12.41	18.48	106.810608	107.4103
"E.grandis"	1	"Bofete"	6	90	608	12	2.8	93	316610	2	11.78	17.18	86.043345	86.36204
"E.grandis"	1	"Bofete"	6	90	608	12	2.8	93	316610	3	11.46	17.19	75.279012	76.46583
"E.grandis"	1	"Bofete"	6	90	608	12	2.8	93	316610	4	13.05	18.56	101.874451	102.4983
"E.grandis"	1	"Bofete"	6	90	608	12	2.8	93	316610	5	12.73	17.9	97.479563	97.77036
"E.grandis"	1	"Bofete"	6	90	608	12	2.8	93	316610	6	11.78	17.19	88.722295	89.14279
"E.grandis"	1	"Bofete"	6	90	608	12	2.8	93	316610	7	11.46	16.09	72.182325	72.44095
"E.grandis"	1	"Bofete"	6	90	608	12	2.8	93	316610	8	12.73	18.68	106.319616	107.0387
"E.grandis"	1	"Bofete"	6	90	608	12	2.8	93	316610	9	12.73	17.4	97.85172	98.46347
"E.grandis"	1	"Bofete"	6	90	608	12	2.8	93	316610	10	11.46	16.09	75.822971	76.20752
"E.grandis"	1	"Bofete"	6	90	608	12	2.8	93	316701	1	11.78	16.45	77.873037	78.34303
"E.grandis"	1	"Bofete"	6	91	609	15	2.5	93	316805	1	8.59	16.19	44.732034	45.95479
"E.grandis"	1	"Bofete"	6	91	609	15	2.5	93	316805	2	8.59	15.47	42.272976	43.687
"E.grandis"	1	"Bofete"	6	91	609	15	2.5	93	316805	3	7.64	14.99	30.365806	32.73742
"E.grandis"	1	"Bofete"	6	91	609	15	2.5	93	316805	4	8.91	15.76	49.088752	49.99582
"E.grandis"	1	"Bofete"	6	91	609	15	2.5	93	316805	5	7.96	13.57	28.865342	29.9878
"E.grandis"	1	"Bofete"	6	91	609	16	2.5	93	316908	1	10.82	16.83	71.725356	72.63242
"E.grandis"	1	"Bofete"	6	91	609	16	2.5	93	316908	2	9.87	16.14	60.044326	61.31107
"E.grandis"	1	"Bofete"	6	91	609	16	2.5	93	316908	3	10.82	17.33	71.861595	72.24765
"E.grandis"	1	"Bofete"	6	91	609	16	2.5	93	316908	4	11.14	17.97	81.746868	82.49409
"E.grandis"	1	"Bofete"	6	91	609	16	2.5	93	316908	5	10.5	16.29	66.322457	66.81885
"E.grandis"	1	"Bofete"	6	91	609	16	2.5	93	316908	6	11.14	17.4	79.704256	80.31601
"E.grandis"	1	"Bofete"	6	91	609	16	2.5	93	316908	7	11.14	17.3	71.380995	71.90478
"E.grandis"	1	"Bofete"	6	91	609	16	2.5	93	316908	8	10.5	15.51	64.937773	65.40225
"E.grandis"	1	"Bofete"	6	91	609	20	2.5	93	317010	1	12.41	18.48	106.810608	107.4103
"E.grandis"	1	"Bofete"	6	91	609	20	2.5	93	317010	2	11.78	17.18	86.043345	86.36204
"E.grandis"	1	"Bofete"	6	91	609	20	2.5	93	317010	3	11.46	17.19	75.279012	76.46583
"E.grandis"	1	"Bofete"	6	91	609	20	2.5	93	317010	4	13.05	18.56	101.874451	102.4983
"E.grandis"	1	"Bofete"	6	91	609	20	2.5	93	317010	5	12.73	17.9	97.479563	97.77036
"E.grandis"	1	"Bofete"	6	91	609	20	2.5	93	317010	6	11.78	17.19	88.722295	89.14279
"E.grandis"	1	"Bofete"	6	91	609	20	2.5	93	317010	7	11.46	16.09	72.182325	72.44095
"E.grandis"	1	"Bofete"	6	91	609	20	2.5	93	317010	8	12.73	18.68	106.319616	107.0387
"E.grandis"	1	"Bofete"	6	91	609	20	2.5	93	317010	9	12.73	17.4	97.85172	98.46347
